politician,name,bday,place,party,professions,type
Joe Biden,Joseph Robinette Biden Jr.,November 20 1942,Scranton Pennsylvania U.S.,Democratic,lawyer - author - ,President
George W. Bush,George Walker Bush,July 6 1946,New Haven Connecticut U.S.,Republican,businessman - ,President
Barack Obama,Barack Hussein Obama II,August 4 1961,Honolulu Hawaii U.S.,Democratic,lawyer - author - ,President
Donald Trump,Donald John Trump,June 14 1946,Queens New York City U.S.,Republican,businessman - television presenter - ,President
George H. W. Bush,George Herbert Walker Bush,June 12 1924,Milton Massachusetts U.S.,Republican,diplomat - businessman - ,President
Jimmy Carter,James Earl Carter Jr.,October 1 1924,Plains Georgia U.S.,Democratic,Philanthropist - author - ,President
Bill Clinton,William Jefferson Blythe III,August 19 1946,Hope Arkansas U.S.,Democratic,lawyer - professor - author - ,President
Calvin Coolidge,John Calvin Coolidge Jr.,July 4 1872,Plymouth Notch Vermont U.S.,Republican,lawyer - ,President
Dwight D. Eisenhower,David Dwight Eisenhower,October 14 1890,Denison Texas U.S.,Republican,Military officer - ,President
Gerald Ford,Leslie Lynch King Jr.,July 14 1913,Omaha Nebraska U.S.,Republican,lawyer - ,President
Warren G. Harding,Warren Gamaliel Harding,November 2 1865,Blooming Grove Ohio U.S.,Republican,journalist - ,President
Herbert Hoover,Herbert Clark Hoover,August 10 1874,West Branch Iowa U.S.,Republican,engineer - ,President
Lyndon B. Johnson,Lyndon Baines Johnson,August 27 1908,Stonewall Texas U.S.,Democratic,teacher - ,President
John F. Kennedy,John Fitzgerald Kennedy,May 29 1917,Brookline Massachusetts U.S.,Democratic,journalist - ,President
William McKinley,William McKinley Jr.,January 29 1843,Niles Ohio U.S.,Republican,lawyer - ,President
Richard Nixon,Richard Milhous Nixon,January 9 1913,Yorba Linda California U.S.,Republican,lawyer - author - ,President
Ronald Reagan,Ronald Wilson Reagan,February 6 1911,Tampico Illinois U.S.,Republican,trade unionist - actor - author - broadcaster - ,President
Franklin D. Roosevelt,Franklin Delano Roosevelt,January 30 1882,Hyde Park New York U.S.,Democratic,lawyer - ,President
Theodore Roosevelt,Theodore Roosevelt Jr.,October 27 1858,,Republican,Author - conservationist - explorer - historian - naturalist - police commissioner - soldier - sportsman - ,President
William Howard Taft,William Howard Taft,September 15 1857,Cincinnati ,Republican,lawyer - ,President
Harry S. Truman,Harry S. Truman,May 8 1884,Lamar Missouri U.S.,Democratic,farmer - ,President
Woodrow Wilson,Thomas Woodrow Wilson,December 28 1856,Staunton Virginia U.S.,Democratic,academic - ,President
John Adams,John Adams,October 30 1735,Braintree ,,lawyer - ,President
